Archive ID	Company ID	Company	Year	Product Line	Common Name	Official/Display Name	Region	Size	MSRP/Prize	MFC URL	Status	Notes
JIR-0001	BAN-001	Banpresto	2019	Yawaraka Pokémon Nuigurumi 4	Yawaraka Jirachi Plush	Yawaraka Pokémon Nuigurumi 4	Japan		Prize	https://myfigurecollection.net/item/802389	Verified	
JIR-0002	BNS-001	Bandai Spirits	2024	Mecha Mofugutto	Mecha Mofugutto Yellow Ver.	Mecha Mofugutto Nuigurumi Yellow Version	Japan		Prize	https://myfigurecollection.net/item/2257858	Verified	
JIR-0003	TTA-001	Takara Tomy A.R.T.S	2025	PokéPeace	PokéPeace Jirachi Plush	PokéPeace Plush	Japan			https://myfigurecollection.net/item/2348757	Verified	
JIR-0004	MORI-001	Morishita / JPPC	2025	Mochi Mochi Diecut Makura	Mochi Mochi Diecut Pillow	Mochi Mochi Diecut Makura	Japan			https://myfigurecollection.net/item/2374949	Verified	Morishita manufacturer, JPPC distributor
JIR-0005	JPPC-001	Pokémon Center Japan	2021	Pokémon Fit	Pokémon Fit Jirachi	Pokémon Fit	Japan		1100 yen	https://myfigurecollection.net/item/1122272	Verified	
JIR-0006	JPPC-002	Pokémon Center Japan	2022	Saiko Soda	Saiko Soda Jirachi	Saiko Soda	Japan		1300 yen	https://myfigurecollection.net/item/1580006	Verified	
JIR-0007	USPC-001	Pokémon Center US	2024	Saiko Soda Pop	Saiko Soda Pop Jirachi	Saiko Soda Pop	North America		$19.99	https://myfigurecollection.net/item/1580006	Verified	Later US release
JIR-0008	TOMY-001	TOMY	Unknown	Unknown	TOMY Jirachi Variant	Unknown	Unknown				https://myfigurecollection.net/item/1322682	Research	Only known from picture
JIR-0009	TOMY-002	TOMY	2003	Medium Plush	9" Medium Plush	Medium Plush	Japan	9"		https://myfigurecollection.net/item/660456	Verified	Recalled release
JIR-0010	TOMY-003	TOMY	2003	Lifesize Plush	Lifesize Jirachi	Lifesize Plush	Japan	13"		https://myfigurecollection.net/item/660459	Verified	
JIR-0011	TOMY-004	TOMY	2003	Plush Mascot Magnet	Plush Mascot Magnet	Plush Mascot Magnet	Japan			https://myfigurecollection.net/item/976647	Verified	
JIR-0012	JPPC-003	Pokémon Center Japan / PokéPark	2005	DX Poké Doll	13" DX Poké Doll	DX Poké Doll	Japan	13"		https://myfigurecollection.net/item/1322504	Verified	PokéPark / JPPC
JIR-0013	JPPC-004	Pokémon Center Japan	2009	Poké Doll	Poké Doll (Minky)	Poké Doll	Japan	5.5"	933 yen	https://myfigurecollection.net/item/960712	Verified	
JIR-0014	JPPC-005	Pokémon Center Japan	2014	Poké Doll	Poké Doll	Poké Doll	Japan		1000 yen	https://myfigurecollection.net/item/243167	Verified	Later international release
JIR-0015	JPPC-006	Pokémon Center Japan	2013	Mini Poké Doll Can	Mini Poké Doll Can	Mini Poké Doll Can	Japan		476 yen	https://myfigurecollection.net/item/567950	Verified	
JIR-0016	JPPC-007	Pokémon Center Japan	2003	Poké Doll	Poké Doll (Velboa)	Poké Doll	Japan		857 yen	https://myfigurecollection.net/item/960695	Verified	Oldest Poké Doll version
JIR-0017	TOMY-005	TOMY	2003	Bath Mitten Puppet	Bath Mitten Puppet	Bath Mitten Puppet	Japan		712 yen	https://myfigurecollection.net/item/967126	Verified	
JIR-0018	TAK-001	Takara Tomy	2007	Movie 10th Anniversary	Finger Puppet Mascot	Pokémon Movie 10th Anniversary Finger Puppet Mascot	Japan		2800 yen	https://myfigurecollection.net/item/447981	Verified	
JIR-0019	TOMY-006	TOMY	Unknown	Keychain Plush	Jirachi Plush Keychain	Unknown	Unknown			https://myfigurecollection.net/item/952406	Research	Needs more information
